Symbol,Headquarter,Date Added,Founding Year
TFC,"Charlotte, North Carolina",1997-12-04,1872
TWTR,"San Francisco, California",2018-06-07,2006
TYL,"Plano, Texas",2020-06-22,1966
TSN,"Springdale, Arkansas",2005-08-10,1935
UDR,"Highlands Ranch, Colorado",2016-03-07,1972
ULTA,"Bolingbrook, Illinois",2016-04-18,1990
USB,"Minneapolis, Minnesota",,1968
UAA,"Baltimore, Maryland",2014-05-01,1996
UA,"Baltimore, Maryland",2016-04-08,1996
UNP,"Omaha, Nebraska",1957-03-04,1862
UAL,"Chicago, Illinois",2015-09-03,1967
UNH,"Minnetonka, Minnesota",1994-07-01,1977
UPS,"Sandy Springs, Georgia",2002-07-22,1907
URI,"Stamford, Connecticut",2014-09-20,1997
UHS,"King of Prussia, Pennsylvania",2014-09-20,1979
UNM,"Chattanooga, Tennessee",1994-03-01,1999
VLO,"San Antonio, Texas",,1980
VTR,"Chicago, Illinois",2009-03-04,1998
VRSN,"Dulles, Virginia",2006-02-01,1995
VRSK,"Jersey City, New Jersey",2015-10-08,1971
VZ,"New York City, New York",1983-11-30,1983
VRTX,"Cambridge, Massachusetts",2013-09-23,1989
VFC,"Denver, Colorado",1979-06-30,1899
VIAC,"New York City, New York",,2019
VTRS,"Pittsburgh, Pennsylvania",2004-04-23,1961
V,"San Francisco, California",2009-12-21,1958
VNO,"New York City, New York",,1982
VMC,"Birmingham, Alabama",1999-06-30,1909
WRB,"Greenwich, Connecticut",2019-12-05,1967
WAB,"Pittsburgh, Pennsylvania",2019-02-27,1869
WMT,"Bentonville, Arkansas",1982-08-31,1962
WBA,"Deerfield, Illinois",1979-12-31,2014
DIS,"Burbank, California",1976-06-30,1923
WM,"Houston, Texas",,1968
WAT,"Milford, Massachusetts",,1958
WEC,"Milwaukee, Wisconsin",2008-10-31,1896
WFC,"San Francisco, California",1976-06-30,1852
WELL,"Toledo, Ohio",2009-01-30,1970
WST,"Exton, Pennsylvania",2020-05-22,1923
WDC,"San Jose, California",2009-07-01,1970
WU,"Englewood, Colorado",2006-09-29,1851
WRK,"Atlanta, Georgia",,2015
WY,"Federal Way, Washington",,1900
WHR,"Benton Harbor, Michigan",,1911
WMB,"Tulsa, Oklahoma",1975-03-31,1908
WLTW,"London, England",2016-01-05,2016
WYNN,"Paradise, Nevada",2008-11-14,2002
XEL,"Minneapolis, Minnesota",1957-03-04,1909
XLNX,"San Jose, California",1999-11-08,1984
XYL,"White Plains, New York",2011-11-01,2011
YUM,"Louisville, Kentucky",1997-10-06,1997
ZBRA,"Lincolnshire, Illinois",2019-12-23,1969
ZBH,"Warsaw, Indiana",2001-08-07,1927
ZION,"Salt Lake City, Utah",2001-06-22,1873
ZTS,"Parsippany, New Jersey",2013-06-21,1952
